county,constituency,town,land_use,size_acres,price_per_acre,distance_to_nairobi_km,latitude,longitude,proximity_to_tarmac_km,proximity_to_school_km,proximity_to_hospital_km,plot_grade,has_road_access,has_water,has_electricity,year
Nairobi,Westlands,Runda,Commercial,1.0,253332314,0,-1.24,36.77,0.7823,1.0733,1.8901,A,1,1,1,2025
Nairobi,Westlands,Runda,Agricultural,5.0,46752515,0,-1.24,36.77,0.7855,1.2781,2.1134,A,1,0,1,2023
Nairobi,Westlands,Runda,Residential,2.0,159147077,0,-1.24,36.77,0.8173,1.2415,2.2504,A,0,0,1,2024
Nairobi,Westlands,Runda,Commercial,0.25,287293151,0,-1.24,36.77,0.7202,1.0438,2.1288,A,0,1,0,2023
Nairobi,Westlands,Runda,Agricultural,1.0,54140267,0,-1.24,36.77,0.7747,1.0146,1.6508,A,1,1,1,2024
Nairobi,Westlands,Runda,Residential,1.0,220557583,0,-1.24,36.77,0.9174,1.2103,1.9664,A,1,0,1,2023
Nairobi,Westlands,Runda,Commercial,0.125,312631140,0,-1.24,36.77,0.6659,1.252,1.6525,A,1,1,1,2025
Nairobi,Westlands,Runda,Agricultural,5.0,66157959,0,-1.24,36.77,0.7777,1.3407,1.6915,A,1,1,1,2024
Nairobi,Westlands,Hardy,Residential,5.0,74413733,0,-1.26,36.77,0.9814,1.4496,1.6761,B,1,1,0,2024
Nairobi,Westlands,Hardy,Commercial,1.0,95985691,0,-1.26,36.77,0.9728,1.6468,1.8981,B,0,1,1,2023
Nairobi,Westlands,Hardy,Agricultural,2.0,35475472,0,-1.26,36.77,1.1001,1.7209,2.1768,B,1,1,1,2024
Nairobi,Westlands,Hardy,Residential,0.5,101568495,0,-1.26,36.77,1.1381,1.4205,2.2101,B,1,1,0,2024
Nairobi,Westlands,Hardy,Commercial,0.25,205927800,0,-1.26,36.77,1.1716,1.6977,1.814,B,1,1,1,2025
Nairobi,Westlands,Hardy,Agricultural,2.0,30935076,0,-1.26,36.77,0.8278,1.6446,2.3774,B,1,1,1,2023
Nairobi,Westlands,Hardy,Residential,0.125,142278957,0,-1.26,36.77,1.027,1.251,1.6421,B,0,1,1,2025
Nairobi,Westlands,Hardy,Commercial,0.25,154069371,0,-1.26,36.77,0.8862,1.5074,1.8761,B,0,0,1,2025
Nairobi,Dagoretti North,Kilimani,Residential,0.125,354261765,0,-1.28,36.83,0.0803,0.1841,0.4422,A,1,1,1,2024
Nairobi,Dagoretti North,Kilimani,Commercial,0.25,805936409,0,-1.28,36.83,0.0892,0.2047,0.5336,A,0,0,1,2023
Nairobi,Dagoretti North,Kilimani,Agricultural,5.0,43347166,0,-1.28,36.83,0.1029,0.2168,0.4835,A,1,0,0,2025
Nairobi,Dagoretti North,Kilimani,Residential,0.125,417504513,0,-1.28,36.83,0.0975,0.1685,0.4871,A,1,0,1,2025
Nairobi,Dagoretti North,Kilimani,Commercial,1.0,619419405,0,-1.28,36.83,0.0846,0.2008,0.5812,A,1,0,1,2024
Nairobi,Dagoretti North,Kilimani,Agricultural,5.0,35601057,0,-1.28,36.83,0.0861,0.2207,0.4151,A,1,1,0,2024
Nairobi,Dagoretti North,Kilimani,Residential,5.0,315863661,0,-1.28,36.83,0.105,0.2291,0.5254,A,1,1,1,2025
Nairobi,Dagoretti North,Kilimani,Commercial,0.25,1015236458,0,-1.28,36.83,0.0985,0.163,0.4737,A,1,1,1,2024
Nairobi,Dagoretti North,Kilimani,Agricultural,5.0,43462379,0,-1.28,36.83,0.1117,0.2317,0.4899,A,1,1,1,2024
Nairobi,Dagoretti North,Kilimani,Residential,2.0,186867170,0,-1.28,36.83,0.0937,0.2171,0.5009,A,1,1,0,2023
Nairobi,Dagoretti North,Kilimani,Commercial,0.25,923916572,0,-1.28,36.83,0.0955,0.222,0.5358,A,1,1,1,2024
Nairobi,Dagoretti North,Kilimani,Agricultural,1.0,63877260,0,-1.28,36.83,0.1063,0.2325,0.5747,A,1,0,0,2024
Nairobi,Dagoretti North,Lavington,Residential,0.5,240978673,0,-1.29,36.84,0.2167,0.2502,0.6141,A,1,1,1,2025
Nairobi,Dagoretti North,Lavington,Commercial,0.5,671061097,0,-1.29,36.84,0.1939,0.2834,0.567,A,1,1,1,2025
Nairobi,Dagoretti North,Lavington,Agricultural,2.0,71796040,0,-1.29,36.84,0.223,0.3009,0.6095,A,1,1,0,2023
Nairobi,Dagoretti North,Lavington,Residential,5.0,153041851,0,-1.29,36.84,0.2265,0.3325,0.6742,A,0,0,1,2024
Nairobi,Dagoretti North,Lavington,Commercial,0.25,802554320,0,-1.29,36.84,0.2227,0.2681,0.5374,A,0,0,1,2025
Nairobi,Dagoretti North,Lavington,Agricultural,10.0,44088538,0,-1.29,36.84,0.2002,0.2902,0.5189,A,0,1,1,2025
Nairobi,Dagoretti North,Lavington,Residential,0.25,374973905,0,-1.29,36.84,0.2277,0.3421,0.5484,A,0,0,1,2025
Nairobi,Dagoretti North,Lavington,Commercial,0.25,734410623,0,-1.29,36.84,0.188,0.2432,0.4928,A,1,0,1,2024
Nairobi,Dagoretti North,Lavington,Agricultural,20.0,26222287,0,-1.29,36.84,0.1868,0.2575,0.4892,A,1,0,0,2023
Nairobi,Dagoretti North,Lavington,Residential,1.0,186321431,0,-1.29,36.84,0.2268,0.3059,0.6545,A,0,1,1,2023
Nairobi,Dagoretti North,Lavington,Commercial,1.0,323464144,0,-1.29,36.84,0.1689,0.3486,0.6232,A,0,0,0,2025
Nairobi,Dagoretti North,Lavington,Agricultural,1.0,59321613,0,-1.29,36.84,0.175,0.3202,0.6056,A,1,1,0,2024
Nairobi,Dagoretti North,Hurlingham,Residential,0.5,212059234,0,-1.29,36.83,0.1054,0.3577,0.4507,A,1,1,1,2024
Nairobi,Dagoretti North,Hurlingham,Commercial,0.125,593433546,0,-1.29,36.83,0.0853,0.2823,0.4677,A,0,0,1,2025
Nairobi,Dagoretti North,Hurlingham,Agricultural,2.0,35214274,0,-1.29,36.83,0.1177,0.2444,0.4403,A,1,1,1,2023
Nairobi,Dagoretti North,Hurlingham,Residential,0.25,391280330,0,-1.29,36.83,0.1059,0.2743,0.5724,A,1,0,1,2024
Nairobi,Dagoretti North,Hurlingham,Commercial,0.125,1111978421,0,-1.29,36.83,0.0955,0.3568,0.4992,A,1,0,1,2025
Nairobi,Dagoretti North,Hurlingham,Agricultural,10.0,18431908,0,-1.29,36.83,0.0872,0.2753,0.4205,A,1,0,0,2024
Nairobi,Dagoretti North,Hurlingham,Residential,0.5,274785302,0,-1.29,36.83,0.1148,0.2823,0.5996,A,1,1,1,2024
Nairobi,Dagoretti North,Hurlingham,Commercial,0.5,609832725,0,-1.29,36.83,0.0864,0.2437,0.5697,A,1,0,1,2025
Nairobi,Dagoretti North,Dagoretti Corner,Residential,5.0,41935054,0,-1.34,36.85,0.521,0.8573,1.7693,B,0,0,1,2024
Nairobi,Dagoretti North,Dagoretti Corner,Commercial,0.5,67449504,0,-1.34,36.85,0.4052,0.6995,1.5106,B,0,0,1,2024
Nairobi,Dagoretti North,Dagoretti Corner,Agricultural,20.0,10676939,0,-1.34,36.85,0.44,0.6834,1.2444,B,1,1,0,2025
Nairobi,Dagoretti North,Dagoretti Corner,Residential,0.25,107441591,0,-1.34,36.85,0.413,0.8135,1.7348,B,1,0,1,2024
Nairobi,Dagoretti North,Dagoretti Corner,Commercial,0.25,131840926,0,-1.34,36.85,0.4278,0.8929,1.2158,B,1,1,1,2023
Nairobi,Dagoretti North,Dagoretti Corner,Agricultural,20.0,13349294,0,-1.34,36.85,0.5434,0.7932,1.4465,B,1,1,0,2023
Nairobi,Dagoretti North,Dagoretti Corner,Residential,1.0,64976942,0,-1.34,36.85,0.5756,0.8897,1.5839,B,0,1,1,2025
Nairobi,Dagoretti North,Dagoretti Corner,Commercial,0.25,143470718,0,-1.34,36.85,0.4324,0.9391,1.3353,B,0,1,1,2025
Nairobi,Langata,Karen,Residential,2.0,101821375,0,-1.44,36.77,1.0134,1.5015,2.6024,A,1,0,1,2023
Nairobi,Langata,Karen,Commercial,0.25,220416791,0,-1.44,36.77,0.8325,1.7691,3.3252,A,1,1,1,2023
Nairobi,Langata,Karen,Agricultural,5.0,55211540,0,-1.44,36.77,1.1827,1.4898,3.3656,A,1,1,1,2025
Nairobi,Langata,Karen,Residential,5.0,84139691,0,-1.44,36.77,0.8575,1.7169,2.7832,A,1,1,0,2024
Nairobi,Langata,Karen,Commercial,0.5,134261539,0,-1.44,36.77,0.8992,1.2581,2.7483,A,0,0,1,2024
Nairobi,Langata,Karen,Agricultural,10.0,47600479,0,-1.44,36.77,0.8759,1.2956,3.5952,A,1,1,1,2025
Nairobi,Langata,Karen,Residential,1.0,122794724,0,-1.44,36.77,0.9412,1.2303,2.9939,A,1,0,1,2025
Nairobi,Langata,Karen,Commercial,1.0,92623478,0,-1.44,36.77,0.8181,1.2307,3.0742,A,0,0,0,2024
Nairobi,Langata,Karen,Agricultural,5.0,43897324,0,-1.44,36.77,0.8475,1.785,2.8727,A,0,1,1,2025
Nairobi,Langata,Karen,Residential,0.5,111162702,0,-1.44,36.77,1.0854,1.6824,3.0232,A,1,0,1,2023
Nairobi,Langata,Karen,Commercial,0.25,194428269,0,-1.44,36.77,0.9197,1.4018,3.3939,A,1,0,1,2025
Nairobi,Langata,Karen,Agricultural,20.0,25807635,0,-1.44,36.77,0.9231,1.7393,3.4465,A,1,1,0,2023
Nairobi,Langata,Langata,Residential,5.0,60531911,0,-1.39,36.82,0.5167,0.6946,2.1032,B,1,1,1,2025
Nairobi,Langata,Langata,Commercial,1.0,65056387,0,-1.39,36.82,0.4303,0.861,1.9283,B,1,0,1,2023
Nairobi,Langata,Langata,Agricultural,20.0,14694668,0,-1.39,36.82,0.5324,0.8082,1.851,B,1,1,0,2024
Nairobi,Langata,Langata,Residential,0.25,136089380,0,-1.39,36.82,0.4529,0.7949,2.3659,B,1,1,1,2025
Nairobi,Langata,Langata,Commercial,0.5,75197887,0,-1.39,36.82,0.4634,0.7516,2.347,B,0,1,0,2024
Nairobi,Langata,Langata,Agricultural,5.0,21894543,0,-1.39,36.82,0.4293,0.6535,2.3643,B,1,1,1,2024
Nairobi,Langata,Langata,Residential,0.125,92522496,0,-1.39,36.82,0.5392,0.6839,2.0925,B,1,0,1,2025
Nairobi,Langata,Langata,Commercial,0.25,109951677,0,-1.39,36.82,0.4201,0.8866,1.6041,B,1,1,1,2024
Nairobi,Langata,Langata,Agricultural,20.0,18444161,0,-1.39,36.82,0.4574,0.7313,1.6473,B,0,1,1,2025
Nairobi,Langata,South B,Residential,0.125,79147399,0,-1.37,36.87,0.3405,0.5868,0.8145,B,0,1,1,2025
Nairobi,Langata,South B,Commercial,1.0,90488033,0,-1.37,36.87,0.3123,0.5857,0.934,B,0,1,1,2023
Nairobi,Langata,South B,Agricultural,10.0,15448859,0,-1.37,36.87,0.2535,0.4325,0.9836,B,1,1,1,2024
Nairobi,Langata,South B,Residential,0.5,59276266,0,-1.37,36.87,0.3166,0.4811,0.9711,B,0,0,0,2024
Nairobi,Langata,South B,Commercial,0.5,68775549,0,-1.37,36.87,0.2683,0.5508,1.1816,B,1,0,0,2024
Nairobi,Langata,South B,Agricultural,5.0,14720594,0,-1.37,36.87,0.2592,0.5372,1.1692,B,1,0,1,2025
Nairobi,Langata,South B,Residential,5.0,59239622,0,-1.37,36.87,0.2974,0.491,1.1955,B,1,1,1,2024
Nairobi,Langata,South B,Commercial,0.5,110759335,0,-1.37,36.87,0.3306,0.5746,0.8327,B,1,1,1,2024
Nairobi,Langata,South C,Residential,1.0,68728764,0,-1.39,36.85,0.3044,0.4329,1.1418,B,1,1,0,2025
Nairobi,Langata,South C,Commercial,1.0,64713561,0,-1.39,36.85,0.3016,0.4914,0.8231,B,0,1,0,2025
Nairobi,Langata,South C,Agricultural,10.0,6878148,0,-1.39,36.85,0.2908,0.5401,1.0165,B,1,0,0,2024
Nairobi,Langata,South C,Residential,0.125,85159814,0,-1.39,36.85,0.3574,0.5292,0.9681,B,0,1,0,2025
Nairobi,Langata,South C,Commercial,1.0,88461503,0,-1.39,36.85,0.3432,0.4237,1.1971,B,1,0,0,2025
Nairobi,Langata,South C,Agricultural,10.0,6634817,0,-1.39,36.85,0.3053,0.5064,1.1293,B,1,0,0,2024
Nairobi,Langata,South C,Residential,0.25,75838590,0,-1.39,36.85,0.3138,0.5872,1.1556,B,0,0,1,2023
Nairobi,Langata,South C,Commercial,0.25,95154292,0,-1.39,36.85,0.2883,0.4469,0.8869,B,0,0,1,2023
Nairobi,Langata,Nairobi West,Residential,0.125,99261540,0,-1.35,36.86,0.2255,0.2684,0.5753,B,1,0,1,2025
Nairobi,Langata,Nairobi West,Commercial,0.25,186698765,0,-1.35,36.86,0.2045,0.2456,0.4689,B,0,1,1,2024
Nairobi,Langata,Nairobi West,Agricultural,10.0,8126777,0,-1.35,36.86,0.2279,0.2761,0.5415,B,1,1,0,2025
Nairobi,Langata,Nairobi West,Residential,1.0,76440629,0,-1.35,36.86,0.2117,0.3507,0.5694,B,1,1,1,2024
Nairobi,Langata,Nairobi West,Commercial,0.125,181797460,0,-1.35,36.86,0.2244,0.3105,0.5343,B,1,0,1,2023
Nairobi,Langata,Nairobi West,Agricultural,2.0,9724758,0,-1.35,36.86,0.1694,0.3599,0.4958,B,1,0,1,2025
Nairobi,Langata,Nairobi West,Residential,0.25,88972230,0,-1.35,36.86,0.2119,0.277,0.4719,B,1,0,0,2024
Nairobi,Langata,Nairobi West,Commercial,1.0,129059227,0,-1.35,36.86,0.1637,0.3437,0.5483,B,1,1,1,2024
Nairobi,Kasarani,Roysambu,Residential,0.125,30748847,0,-1.21,36.9,0.5667,0.7998,2.1237,C,1,1,1,2024
Nairobi,Kasarani,Roysambu,Commercial,0.5,35617364,0,-1.21,36.9,0.4339,0.8705,1.9907,C,1,1,1,2024
Nairobi,Kasarani,Roysambu,Agricultural,20.0,4398040,0,-1.21,36.9,0.4013,0.684,2.1046,C,1,1,1,2025
Nairobi,Kasarani,Roysambu,Residential,0.125,40198223,0,-1.21,36.9,0.4966,0.7961,1.6053,C,0,1,1,2025
Nairobi,Kasarani,Roysambu,Commercial,1.0,24931766,0,-1.21,36.9,0.5612,0.9311,1.6856,C,1,0,1,2025
Nairobi,Kasarani,Roysambu,Agricultural,1.0,6187698,0,-1.21,36.9,0.5919,0.7869,1.7946,C,0,1,0,2025
Nairobi,Kasarani,Roysambu,Residential,5.0,22341746,0,-1.21,36.9,0.4759,0.8169,1.6449,C,1,1,1,2025
Nairobi,Kasarani,Roysambu,Commercial,0.125,51645963,0,-1.21,36.9,0.579,0.9341,1.7838,C,0,1,1,2025
Nairobi,Kasarani,Kasarani,Residential,5.0,21775060,0,-1.19,36.88,0.6505,1.1715,2.3145,C,1,0,0,2025
Nairobi,Kasarani,Kasarani,Commercial,0.25,36574935,0,-1.19,36.88,0.9071,0.9557,2.8965,C,1,1,1,2023
Nairobi,Kasarani,Kasarani,Agricultural,5.0,6305857,0,-1.19,36.88,0.6713,0.8929,2.076,C,1,1,1,2025
Nairobi,Kasarani,Kasarani,Residential,2.0,15760434,0,-1.19,36.88,0.797,0.9423,2.9411,C,1,0,1,2024
Nairobi,Kasarani,Kasarani,Commercial,1.0,23224139,0,-1.19,36.88,0.7258,0.952,2.7839,C,1,0,1,2024
Nairobi,Kasarani,Kasarani,Agricultural,2.0,6128652,0,-1.19,36.88,0.6824,0.875,2.4488,C,1,0,0,2024
